BR_id,BRsummary,BRdescription,commit_id,file_new_name
1687,name 'IProgress' is not defined,  name  iprogress  is not defined when running from jupyter notebook    ,1a54ed6ad9f1faf8ac58bbded4b71e4dd18246d6,CHANGELOG.md
1697,[Examples] The UNet model has some bugs,  🐛 bug    the unet model definition has some bugs pertaining to bilinear interpolation   code sample                pytorch lightning pl examples models unet py              lines   to          in                        for   in range            layers append   bilinear           feats                   in the code above  there seems to be a typo  the bilinear flag should be passed to the function up   it has instead been passed to the  append  method of the list               pytorch lightning pl examples models unet py              lines   to          in                        if bilinear           self upsample   nn upsample           else           self upsample   nn                the number of channels once the input passes through either one of these layers is different  for  bilinear   the number of channels remains the same  whereas they decrease to half if a   is used  this gives an error in the network s  forward  method   i wanted to directly use the model for some other a,cf2d32d0a6c757aad39c36b621a646ed3a24619a,pl_examples\domain_templates\semantic_segmentation.py
1721,instable GitHub action cache,  🐛 bug    there is some issue with gh action and caching as it is randomly failing with using horovod  to reproduce             ,281a73ccf7a22cdf004755f1f7b4aead40b12d84,.github\workflows\ci-testing.yml
1751,Early Stopping behavior,  hi there   thanks for the great library    i am not following the bug report template as i m not sure this is indeed a bug  or simply i cannot understand how early stopping is implemented  my code looks as follows       early stop callback   earlystopping           monitor  val acc            min delta               patience             verbose true           mode self mode               trainer   trainer           early stop callback early stop callback           auto select gpus true           max epochs             terminate on nan true           show progress bar true           fast dev run false           gpus               as i understand it  the model should perform early stopping after at least   epochs have passed without improvement on the validation accuracy  however  in my case  early stopping happened at epoch    is this how it should be   as i said  i am not sure this is actually a bug or a choice    if it is indeed a bug  i will work a reproducible example  thank you  ,3af4994d5a84bc80738b50983b4b42c3eb946433,CHANGELOG.md
1829,Allow boolean flags to work without passing True,  we tried to fix this but it s still broken  this fails when adding args to argparse automatically       auto lr find      instead we have to do     auto lr find true      which is not great   ,bee0392c372936567b2bbe6e7ed5828cb3078354,pytorch_lightning\trainer\trainer.py
1850,lr_find doesn't return the correct suggestion if some losses are nan,  🐛 bug    lr finder doesn t return the correct suggestion if some losses are nan  the returned loss is the one corresponding to the nan value  which is very big in my case       to reproduce    this depends on the dataset  please see the code sample   code sample    i believe this is caused by numpy  the related code should be       pytorch lightning pytorch lightning trainer lr finder py               line          in                        min grad       argmin              example losses                                   print  argmin    example losses                                  float    print  argmin    output             expected behavior    return the correct suggested loss   environment      cuda     gpu   available          false  version                     packages     numpy                     pytorch debug      false  pytorch version           pytorch lightning         tensorboard               tqdm                          system     os                 linux  archit,ac76dfcf62a672c84f843f2e3158e4c6262776da,CHANGELOG.md
1857,Can not use Trainer.test() if train and val dataloaders are not defined,  🐛 bug    when the model does not define train dataloader and no val dataloader  we can not use trainer test    the configuration checks fail with a misconfigurationexception   code sample    model          a model with no  train dataloader    val dataloader  defined  test dl         a dataloader  trainer   pl trainer   trainer test       expected behavior    we expect the testing loop to execute    ,1a797bdad5df6d4e7ccc586ddeb93dccb2a9648a,tests\trainer\test_checks.py
1878,prepare_data called multiple times per node for slurm and elastic training,  🐛 bug    slurm and elastic training create the training processes per node outside of the lightning context  this means that when the fit function calls prepare data  the assumption that it s only being called on proc   is broken and it gets called for each process   this is an issue computational reasons   and for training stability if the data preparation process isn t deterministic   see calling code here         pytorch lightning pytorch lightning trainer trainer py               line          in                        model prepare data              to reproduce    steps to reproduce the behavior     add print statements to prepare data  train a lightning model with either slurm or elastic training  see that it s being called multiple times     expected behavior    expected prepare data to only be called once per node    ,5fd01b0e68a6087908ac0bcefd4edaeddfb0e248,pytorch_lightning\callbacks\model_checkpoint.py
1889,trainer.scale_batch_size() throws exception due to LRScheduler,  🐛 bug    i tried finding the biggest possible batch size for my training  but pl raises a misconfigurationexception saying that my lrscheduler   is conditioned on a metric that is only available after validation epoch end  the available metrics are  loss  val loss   i assume the lrscheduler requires a metric from the training loop for this to work  why is this neccessary   to reproduce    steps to reproduce the behavior     have a model with a metric that only exists in validation epoch end  have a lrscheduler which monitors that metric  use trainer scale batch size  see error    file  c  programdata   envs ml lib site packages pytorch lightning trainer training loop py   line    in update learning rates      raise misconfigurationexception   pytorch lightning utilities exceptions misconfigurationexception  reducelronplateau conditioned on metric meaniou which is not available  available metrics are  loss train loss  condition can be set using  monitor  key in lr scheduler dict      ,3459a546672303204a4ae6efcc2613a90f003903,pytorch_lightning\trainer\training_loop.py
189,Logging of GPU memory utilization can significantly slow down training,  when training using gpus pytorch lightning automatically logs the gpu memory utilization during training  this is a useful feature  but can severely impact performance dependent on the speed of the nvidia smi call   on our particular cluster    this leads to a performance decrease of almost   fold when training on gpu vs  cpu   describe the bug  logging of gpu memory can have a severe impact on training performance     remove gpu memory logging by commenting out the lines   to   in pytorch lightning models trainer py  see here    expected behavior  logging of gpu memory utilization should not impede performance   or it should at least be possible to deactivate it in case performance issues arise   desktop       os  ubuntu linux      nvidia geforce gtx       ,dac41030d48acbfecdf7c083b8e7b00f3fd9be06,docs\Trainer\Logging.md
1898,batch size finder does not recognize flag and seems to download often,  the   auto scale batch size flag requires a string  but it should also just work with set true    ie  support this case       auto scale batch size        it seems to trigger data downloads more frequently     files already downloaded and verified  files already downloaded and verified  files already downloaded and verified  files already downloaded and verified  files already downloaded and verified  files already downloaded and verified  batch size   succeeded  trying batch size    files already downloaded and verified       ,a34eb9e169622fe91fdf4d98560b65b2f2b5c8d0,CHANGELOG.md
1899,Incorrect number of batches when multiple test loaders are used and test_percent_check is specified,  🐛 bug    when there are multiple test dataloaders and test percent check is specified  the estimated total batches are incorrect and progress bar doesn t show properly   for example  when i specify two dataloaders each of which has   batches and test percent check      the expected total batches are          but actually    batches are run   at this line  num batches is the global number of batches and will be assigned to self num test batches        pytorch lightning pytorch lightning trainer data loading py               line          in                        num batches   int              while in the evaluation loop  max batches is regarded as the number of batches for one data loader         pytorch lightning pytorch lightning trainer evaluation loop py               line          in                        if batch idx    max batches              to reproduce    steps to reproduce the behavior     return multiple dataloaders from test dataloaders   specify test percent check   ,e085e93dd303e80af2e9a5fe4aa392055c831114,CHANGELOG.md
1916,Trainer.parse_argparser does not yield sensible default for default_root_dir,  🐛 bug    using trainer parse argparser returns true for default root dir  however  a string is expected   to reproduce    steps to reproduce the behavior       from pytorch lightning import trainer      from argparse import argumentparser  namespace      parser   argumentparser       parser   trainer add argparse args       args   trainer parse argparser       args  namespace        ,b3ebfec863df8513f42e7211a29f857139e8ede4,pytorch_lightning\trainer\trainer.py
1937,"TODO list for ""replace Hparams by init args"" PR",  🚀 todo  follow up work on module arguments rework in                 make clear the multiple ways args can and cannot be passed in   example    class litmodel        def   init                 trainer add argparse args    litmodel add model specific args    litmodel      this will fail  this won t work since the list of arguments in constructor is a fixed size   we can fix it in two ways     add   kwargs to the init signature to catch any unnecessary args    split the parsers to separate model args from trainer args              make it clear which types we save to the checkpoints and which not    the name  module arguments  maybe misleading to believe all args are saved           some old code was left commented  including tests  as mentioned by                the model checkpointing has changed  we should thoroughly test that the correct args are loaded             test case for positional args            fix for when super  is not called or called after other local vars were added,4234992302608e1999c00b4faffac591fb537a34,CHANGELOG.md
195,Non plain-tensor batches,  hello   i have been trying to use lightning to train a graph neural network built with torch geometric   package using a gpu   this is the error i get when i try to fit the model       envs pyg lib     site packages torch geometric nn conv gcn conv py in forward              def forward                                          x   torch matmul                           if self cached and self cached result is not none     runtimeerror  expected object of backend cpu but got backend cuda for argument         i investigated the code of lightning for a probable cause and found that transfer batch to gpu causes this error   the current behavior of this function considers a batch to be either a  plain   or some simple collection of such objects    the problem is that torch geometric uses a custom aggregate type   docs    which itself implements  method     it would be nice if you could make the code more flexible to process this case   correctly  i believe  the best solution is to replace,34b824a9d3d0fdd377da675e0398c66ab5e16e7b,pytorch_lightning\models\trainer.py
2027,Support DictConfig,  we need to add dictconfig support for omegaconf  borda   to the auto hparam save   ,d2967d9305b42c9260f821f2b7fb43fbf19ca1aa,CHANGELOG.md
2058,Hydra MLFlow Clash,  🐛 bug    when using the mlflow logger with hydra  because the parameters passed to the lightningmodule is a dictconfig  the condition in the logger base py is not met         pytorch lightning pytorch lightning loggers base py               line          in                        if isinstance               to reproduce    use hydra and mlflow together   traceback       file   home siavash kronikare   kwae ma models pl train segmentation model py   line    in       main     file   home siavash   envs kwae ma lib     site packages hydra main py   line    in decorated main      strict strict     file   home siavash   envs kwae ma lib     site packages hydra  internal utils py   line    in run hydra      overrides args overrides     file   home siavash   envs kwae ma lib     site packages hydra  internal hydra py   line    in run      job subdir key none     file   home siavash   envs kwae ma lib     site packages hydra plugins common utils py   line    in run job      ret return value ,44385bb582467acaa35cd4da553b2343a7860598,pytorch_lightning\loggers\base.py
2092,[ddp] New ddp implementation doesn't work in notebooks / using scripts,  the using  spawn  to spin off subprocesses ddp in had a few problems     everything needs to be picklable   it doesn t work well with num workers on dataloaders because of spawn  fit  trains the model in a subprocess  so the original model is not updated   those are not limitations of lightning  but of pytorch and python     as a result  we removed  spawn and instead call the script under the hood   this approach solves all problems above  but it assumes you can call your model like  python train py     and does not support other ways of calling the script   we should decide how to support ddp on jupyter notebooks    ,3260e59b2723a0f5d666c6779486717aa3a9373d,docs\source\multi_gpu.rst
2131,wandLogger().name is None in DDP mode,  if you remove line      everything works   when you re not in ddp mode  this is not an issue    ,145670f893f43ff70866668cf087d82fe51a22a6,pytorch_lightning\callbacks\model_checkpoint.py
2143,Fix checkpoint warning for floats,       added this warning when saving checkpoints        is there a reason why native python floats aren t supported  i think it s actually quite common especially when libraries e g  scipy are involved when computing the metrics   it says checkpoint not saved  but actually checkpoints are still saved  this check doesn t actually change the saving logic besides giving that warning      ,97e62b38cfa0c9ce14050b603ec3e735ba760a71,pytorch_lightning\core\step_result.py
2167,"The docker image tagged with Pytorch 1.5 and Python 3.8, has Pytorch 1.4 installed and is running Python 3.7",  🐛 bug    the docker image tagged   with pytorch      eg   has torch     installed in it  as seen via pip list  also  it is running python     instead of python      as the tag indicates   to reproduce    steps to reproduce the behavior     pull docker image  docker pull pytorchlightning pytorch lightning                run the container  docker run   rm  it   init pytorchlightning pytorch lightning                check version of python and pytorch     containeruser      python   version  python          containeruser      pip list   grep torch  pytorch lightning                           torch                            expected behavior    since the tag of the docker image is                i expect to see it running python     and pytorch       environment    n a   ,2f739f5977640bb8580b82a11f322f81f1b90d09,.github\workflows\docker-builds.yml
2180,Global Gradient calculation is turned off during validation step.,  if an error occurs during the validation step  the tradition calculation is turned off for the runtime  you have to either specifically enable it or restart runtime    ,25c7465591371f8fe4b4244ccc996706f4136cea,pytorch_lightning\trainer\training_loop.py
2188,[hparams] save_hyperparameters doesn't save kwargs,  ❓ questions and help    when i use hyperparemeters like docs   class litmnist          def   init              super    init               call this to save   to the checkpoint          self save hyperparameters         model checkpoint doesn t save args in kwargs  but kwargs is important  args such as num frames  img size  img std     must be used in creating dataloader  but it will be tedious if writes them in   init   explicitly    it can make code clean if hides them in kwargs   before i use hparams  it s ok  but now it s not recommended to use hparams   is there any good idea to  deal with this problem    ,6ae9a97b09fd8e3239219c2882c6f3cc31a2ccf8,pytorch_lightning\core\lightning.py
2205,[metrics] Accuracy Metric: Tensors must be CUDA and dense,  i try the new accuracy metric  but it throws error   traceback       file  main py   line    in       main     file  main py   line    in main      trainer fit     file   mnt lustre     lib     site packages pytorch lightning trainer trainer py   line    in fit      self ddp train     file   mnt lustre     lib     site packages pytorch lightning trainer distrib data parallel py   line    in ddp train      self run pretrain routine     file   mnt lustre     lib     site packages pytorch lightning trainer trainer py   line    in run pretrain routine      false     file   mnt lustre     lib     site packages pytorch lightning trainer evaluation loop py   line    in  evaluate      output   self evaluation forward     file   mnt lustre     lib     site packages pytorch lightning trainer evaluation loop py   line    in evaluation forward      output   model     file   mnt lustre     lib     site packages torch nn modules module py   line    in   call        result   self forward     file  ,17d87731062691f4510c75f12f2ce63b5dde0a43,CHANGELOG.md
224,set_epoch for DistributedSampler,  describe the bug  pytorch example suggests the use set epoch function for distributedsampler class before each epoch start  i could not find this function call in lightning s trainer module        line      as can be seen from the distributedsampler class code        the set epoch function is required to set the seed for each  function call   can you confirm if this function has been called on distributedsampler   at some point in lightning s trainer module    ,c0f3b6b035f955fc371dec412d3816712f3fc1dd,pytorch_lightning\trainer\trainer.py
2254,"Single node DDP: ""Default process group is not initialized""",  🐛 bug    unable to start single node ddp training on        to reproduce    was going to run the gpu template but        both methods of running the template result in the same error    python  m pl examples basic examples gpu template   gpus     distributed backend ddp spawn    python  m pl examples basic examples gpu template   gpus     distributed backend ddp      gpu available  true  used  true  tpu available  false  using    tpu cores  cuda visible devices             traceback       file   opt conda lib     runpy py   line    in  run module as main         main     mod spec     file   opt conda lib     runpy py   line    in  run code      exec     file   opt conda lib     site packages pl examples basic examples gpu template py   line    in       main     file   opt conda lib     site packages pl examples basic examples gpu template py   line    in main      trainer fit     file   opt conda lib     site packages pytorch lightning trainer trainer py   line    in fit      self ba,57d5f6e74a3bcd8f5c73211ba3a4e2480fcc1114,docs\source\trainer.rst
2281,RuntimeError: OrderedDict mutated during iteration,  🐛 bug    i was getting runtimeerror  ordereddict mutated during iteration   it seems like using the same lightningmodule object with modelsummary and trainer causes this error   to reproduce    from pytorch lightning core memory import modelsummary  model   cifarnet    any pl module would work here  modelsummary   trainer   trainer   trainer fit   steps to reproduce the behavior     view model summary using modelsummary class  call trainer fit with same object     stacktrace    runtimeerror                              traceback     in              checking for errors          trainer   trainer           trainer fit     frames   usr local lib     dist packages pytorch lightning trainer trainer py in fit                         elif self single gpu                     self single gpu train                         elif self use tpu     pragma  no cover   usr local lib     dist packages pytorch lightning trainer distrib parts py in single gpu train                     self reinit schedu,f972ab3a828eae1847a793da0b2c25c6074647a4,CHANGELOG.md
2286,example_input_array dtype,  currently assumed that example input array dtype to be equal to model dtype  this is not necessarily correct   e g  if input is a vector of int         pytorch lightning pytorch lightning core memory py               line          in                        input    apply to collection                ,6bfcfa8671c4bf54b34290171f191db65fa27d8c,CHANGELOG.md
2299,DDP Bug with Model Checkpoint parsing,  🐛 bug    my script works with cpu  single gpu and dp   i need ddp to do   bit training  also even on a single machine ddp is faster   here is my modelcheckpoint code   def setup model checkpoint        kwargs   config  model checkpoint kwargs        metrics   kwargs pop       if isinstance            metrics    metrics         fp    checkpoints  epoch        for metric in metrics           fp                  fp    str           fp                  return modelcheckpoint       in my case it would generate the checkpoint  checkpoints epoch           for example   although i even tried it with just checkpoints and it s the same issue   the issue is the following                    file   home user miniconda envs   lib     site packages pytorch lightning trainer trainer py   line    in fit                   file   home user miniconda envs   lib     site packages pytorch lightning trainer trainer py   line    in fit                   file   home user miniconda envs   lib     site package,90f641af0d509645ecd679d00f1213f68d4a44ad,pl_examples\models\lightning_template.py
2311,overfit_batches doesn't work,  when i try to use overfit batches     lightning readthedocs io en latest debugging html make model overfit on subset of data     trainer   trainer       my code fails with      trainer fit     file   home andriy   envs patchy discs model lib     site packages pytorch lightning trainer trainer py   line    in fit      self single gpu train     file   home andriy   envs patchy discs model lib     site packages pytorch lightning trainer distrib parts py   line    in single gpu train      self run pretrain routine     file   home andriy   envs patchy discs model lib     site packages pytorch lightning trainer trainer py   line    in run pretrain routine      self reset val dataloader     file   home andriy   envs patchy discs model lib     site packages pytorch lightning trainer data loading py   line    in reset val dataloader      self  reset eval dataloader     file   home andriy   envs patchy discs model lib     site packages pytorch lightning trainer data loading py   line    in  re,e6c7548b306055e41552e23d57f0057e7f441256,CHANGELOG.md
2314,Breaking compatibility with custom datatypes implementing `.to`,  🚀 feature    bring back compatibility for custom datatypes in collections implementing  to for transferring data   motivation    i am using pytorch lightning together with pytorch geometric  pytorch geometric implements several custom datatypes and dataloaders which is really useful for geometric deep learning  everything worked well with pytorch lightning        as the custom datatypes implement a  to method for transferring the data to different devices   however  with the recent       update  this is no longer possible and i had to scour the documentation to be able to implement a fix using transfer batch to device   this is in my opinion not very pretty  as my batch looks like this    data   pytorch geometric batch object   id   tensor            i e  it is just a dictionary of types that all implement the  to method   pitch      make it possible for classes implementing the  to method to be transferred automatically  if part of the batch could not be transferred automatically ou,aab9e77d2d4ac601a08ca6365dd846a88b83517f,CHANGELOG.md
2315,Bug in average_precision Metric,  🐛 bug    hi everyone  i encountered a bug when using the average precision metric    it yields incorrect results     there seems to be a missing parenthesis in the code here      lightning blob master pytorch lightning metrics functional classification py      it works when corrected as    return  torch sum    precision   in order to reproduce negative results    import torch  import pytorch lightning metrics functional classification as m    torch manual seed   truth            pred   torch rand     m average precision       i did not find an issue on this topic yet  if needed i can submit a pr   thanks ☺️   ,92f122e0df7e233f3a8b7873c7294155afbbf852,CHANGELOG.md
2330,`use_amp` and multiple optimizers bug,  🐛 bug    faced this issue when tried to use mixed precision with my two head model which has two pairs of optimizer   scheduler  without use amp everything works fine   with it enabled  i get   typeerror   cosineannealinglr  object is not subscriptable      my investigation has ended up here       def reinit scheduler properties              reinitialize optimizer step properties added by schedulers          for scheduler in schedulers               for optimizer in optimizers                   scheduler   scheduler  scheduler             this place                                         if scheduler optimizer    optimizer                              obviously  next optimizer will get scheduler as an actual non dict object as it was reassigned on the first iteration     to reproduce    steps to reproduce the behavior     build any lightningmodule  which configure optimizers  method outputs lists of two optimizers and two schedulers  in my case it s something like     def configure ,c275e1fc91df4d351799b633e9df08e010094bfe,pytorch_lightning\trainer\optimizers.py
2333,AttributeError: 'LightningDataParallel' object has no attribute 'teardown',  🐛 bug    to reproduce    steps to reproduce the behavior   trainer   pytorch lightning trainer       gpus         distributed backend  dp      model   basemodel load from checkpoint   trainer test       traceback     file  run kitti py   line    in   trainer test   file   opt conda lib     site packages pytorch lightning trainer trainer py   line    in test  self model teardown   file   opt conda lib     site packages torch nn modules module py   line    in getattr  type  name  name    attributeerror   lightningdataparallel  object has no attribute  teardown   code sample    expected behavior    environment      cuda     gpu     geforce gtx   ti  geforce gtx   ti      available          true  version                     packages     numpy                     pytorch debug      false  pytorch version           pytorch lightning         tensorboard               tqdm                          system     os                 linux  architecture              processor             python    ,d22181714ac3f201ea7a35b7fd06d85db82c0465,pytorch_lightning\trainer\trainer.py
2334,LightningModule.load_from_checkpoint not working with .ckpt from 0.7.6,  🐛 bug    trying to use an old experiment  ckpt   in        results in an error when trying to load   to reproduce    steps to reproduce the behavior     train something with       and save checkpoint with the checkpoint callback  try to load checkpoint with          trying to load  ckpts         ckpt with pl version                                                                                      typeerror                                 traceback     in           selected ckpt   glob              print          litclassifier load from checkpoint       frames   usr local lib     dist packages pytorch lightning core saving py in load from checkpoint                 checkpoint cls checkpoint hyper params key  update                         model   cls  load model state                 return model             usr local lib     dist packages pytorch lightning core saving py in  load model state                             if cls checkpoint hyper params type in checkpoint             ,861a73be12ef17214bb0ed49aabc9f48a80fde16,CHANGELOG.md
2359,Problem with loading checkpoint of a model with embeddings,  🐛 bug    unable to load from checkpoint for model with embeddings  code sample    model arch  class model          def   init                  super    init                 m   get base               self enc    nn sequential         nn flatten                    nc   list       in features              self head   nn sequential  mish                                    nn     nn dropout  nn linear                self embs   nn modulelist  for c s in emb szs                def forward                      e  for i e in enumerate                     torch cat                x img   self enc                x   torch cat                     x   torch cat                return self head         checkpoint callback   modelcheckpoint                filepath os path join    model dir                        save top k true                verbose true                monitor  val loss                 mode  min                 prefix                          trainer   trainer max epochs         ,51711c265a9e234f2b4164f1a2fab73373707d61,.github\PULL_REQUEST_TEMPLATE.md
2371,hparams are not logged in tensorboard,  🐛 bug    i m using the latest version of pl  my problem is when i launch an experiment  everything is logged correctly to tensorboard  except the hparams       i tried to launch the cpu template on a fresh virtual environement  but it didn t work  however  when i launch the pytorch example of logging hparams to tensorboard    torch utils tensorboard writer summarywriter add hparams     it worked   to reproduce    i succeeded to reproduce this using the official mnist collab       scrollto       by skipping the  simplest example  and excuting directly     lightningmodule   environment      pytorch version         os    ubuntu      how you installed pytorch    pip  build command you used     python version             cuda cudnn version       gpu models and configuration  geforce gtx    any other relevant information      ,11069c87845ea9a14e6fe807094313a67f9946dc,pytorch_lightning\core\decorators.py
2372,training_epoch_end's outputs doesn't have 'loss' key,  pytorch lightning  build from master  traceback       file  main py   line    in       main     file  main py   line    in main      trainer fit     file   mnt lustre     lib     site packages pytorch lightning trainer trainer py   line    in fit      self ddp train     file   mnt lustre     lib     site packages pytorch lightning trainer distrib data parallel py   line    in ddp train      self run pretrain routine     file   mnt lustre     lib     site packages pytorch lightning trainer trainer py   line    in run pretrain routine      self train     file   mnt lustre     lib     site packages pytorch lightning trainer training loop py   line    in train      self run training epoch     file   mnt lustre     lib     site packages pytorch lightning trainer training loop py   line    in run training epoch      self run training epoch end     file   mnt lustre     lib     site packages pytorch lightning trainer training loop py   line    in run training epoch end      epoch output   m,a42a0e16ddd75dd7199ecefe4d10c2941c17ba76,pytorch_lightning\trainer\training_loop.py
241,"In Multi GPU DDP, pytorch-lightning creates several tfevents files",  describe the bug  right now pytorch lightning seems to create several tfevent files in the multi gpu ddp way   e g  for   gpus    rw rw r      sam sam     sep       events out tfevents             rw rw r      sam sam   sep       events out tfevents             rw rw r      sam sam     sep       events out tfevents                i suppose the first one is created by the main process and the next   are created by the   ddp processes    unfortunately  the actual events are not logged in the last created one  and that confuses tensorboard  cf tensorflow tensorboard      i have to restart tensorboard if i want to see the new data   a clear and concise description of what the bug is   to reproduce  launch any training on multi gpu ddp   expected behavior  only one tfevent file is created  from the master gpu    ,614cb3c03bd0894238b3197f3b7f904656f284f4,docs\Trainer\Logging.md
2411,0.8.2 calls backward on '_GeneratorContextManager',  🐛 bug          calls backward on   generatorcontextmanager  and crashes training         works correctly  my training step returns   loss  loss   log    learn rate  self lr    traceback       file   opt conda lib     site packages torch multiprocessing spawn py   line    in  wrap      fn     file   opt conda lib     site packages pytorch lightning trainer distrib data parallel py   line    in ddp train      self run pretrain routine     file   opt conda lib     site packages pytorch lightning trainer trainer py   line    in run pretrain routine      self train     file   opt conda lib     site packages pytorch lightning trainer training loop py   line    in train      self run training epoch     file   opt conda lib     site packages pytorch lightning trainer training loop py   line    in run training epoch      batch output   self run training batch     file   opt conda lib     site packages pytorch lightning trainer training loop py   line    in run training batch      self hiddens,e8bb4165b76496089d24c74891f2167350e594be,pytorch_lightning\trainer\training_loop.py
2429,Batched iterative dataloading disables validation,  🐛 bug    setting the batch size parameter for torch utils data dataloader to a number greater than    prevents validation step and validation epoch end from being called   to reproduce    steps to reproduce the behavior     run python main py with bs      observe exception raised in validation step  run python main py after changing to bs      observe the model train successfully    code sample    import pytorch lightning as pl  import torch  import torch nn as nn  import torch nn functional as f  from torch utils data import dataloader  iterabledataset    class dataset        def   init              super    init           def   iter              for   in range                yield torch randn         def   len              return      class model        def   init              super    init             self fst   nn linear           self snd   nn linear         def forward            x   self fst           x   f relu           x   self snd           return x        def training ste,927f305f7e556828b5cdd45e3977c67f3c54b8fc,CHANGELOG.md
2436,Fix horovod tests that try to access filepath on global rank &gt; 0,  🐛 bug    we had to skip two tests in       namely    test horovod cpu  test horovod cpu implicit    problem is that since they run in ddp and the test tries to access the trainer internal variable for the checkpoint path  it gets a nonetype error when trying to os join  none paths   to reproduce    steps to reproduce the behavior   run these two tests     test horovod cpu  test horovod cpu implicit     ,78db847e42457ce3dcd89a2a5eccc8e79f60e731,tests\base\develop_pipelines.py
2438,`validation_epoch_end` and `test_epoch_end` can't return nothing,  🐛 bug    if validation epoch end or test epoch end returns nothing    an error occurs      to reproduce    steps to reproduce the behavior   overwrite test epoch end and remove return  same for validation epoch end  file    conda envs ppi env lib     site packages pytorch lightning trainer logging py   line    in process output      for k  v in output items    attributeerror   nonetype  object has no attribute  items       code sample    import os    import torch  from torch nn import functional as f  from torch utils data import dataloader  from torchvision datasets import mnist  from torchvision import transforms  from pytorch lightning core lightning import lightningmodule  from pytorch lightning import trainer  seed everything    class litmodel          def   init              super    init             self     torch nn linear         def forward            return torch relu                def training step            x  y   batch          y hat   self           loss   f cross en,325852c6df93f749bb843bff1a3cdba41698722c,docs\source\bolts.rst
2442,validation_epoch_end needs to return CUDA tensors,  🐛 bug    i m not sure if this is expected behaviour or not  but upgrading to the latest version   caused my validation epoch end to break  it appears that a cuda tensor is expected for the metric where before the tensor was device agnostic   this was using sklearn s roc auc score  i haven t yet got around to testing pl s new metrics   feel free to close if this is expected behaviour   to reproduce    this is my validation epoch end  uncommenting  to  allows this to run with the dev version of pl   this was run with ddp  precision   using apex amp   def validation epoch end            avg loss   torch stack  mean           y pred   torch cat  for x in outputs   cpu  numpy           y true   torch cat  for x in outputs   cpu  numpy             metric   torch tensor       to             tensorboard logs                   loss validation   avg loss                auc   metric                      return   val loss   avg loss   log   tensorboard logs   auc   metric       the error message,a5538af3558cf544dffd92b1b8bab3a5793f0ba0,CHANGELOG.md
2444,self.hparam silently removes params that are not serializable,  🐛 bug    following the approach found under hyperparameters in the docs    step    i passed a dict with parameters to my    in the  printing  shows all contents i passed   however  in the function   some hparams are gone   this might be related to that not all param values are yaml serializable  and therefore automatically removed  because the   removed params are  criterion   torch nn bceloss  and  optimizer   partial    to reproduce    steps to reproduce the behavior     run the following script     from functools import partial  import torch  import torch optim as optim  from torch utils data import dataset  import pytorch lightning as pl  from pytorch lightning import trainer      partial to give all params  except the data  hparams           criterion   torch nn bceloss      f cross entropy      loss function       optimizer   partial                 learning rate              filters            layers           class emptydataset        def   init              pass            d,d5254ff9dfb67fba388de224a320f3a562561a80,pytorch_lightning\utilities\__init__.py
2456,multi-gpu training triggers CUDA out of memory error,  hi    i am running into issues when going from single to multi gpu training   specifically  if i switch the line  pl trainer   to  pl trainer   i get the dreaded cuda out of memory error   is there any reason why the parallelism causes the gpu to receive more data    ,afdfba1dc6061c5e1ee6eaf215500d6a56e95482,pytorch_lightning\trainer\evaluation_loop.py
2458,Wandb Flatten Dict,  wandb logger should flatten the dictionary of parameters before logging  every other logger has the bellow pattern of code    params   self  convert params    params   self  flatten dict       🐛 bug    wandb logger does not flatten parameters resulting in dictionaries being logged to wandb  which are not searchable causing for some loss of features in wandb   to reproduce    run the cpu template with wandb logger  and log a nested dictionary   expected behavior    solution  just call   params   self  flatten dict  this in the wandb logger   environment      cuda     gpu   available          false  version            none      packages     numpy                     pytorch debug      false  pytorch version           pytorch lightning         tensorboard               tqdm                          system     os                 darwin  architecture              processor             python                    version            darwin kernel version        wed mar          pst    root xn,899cd74044505eb308e624f15a4cb65c57973bbb,CHANGELOG.md
2472,DDP breaks when `python` does not refer to the correct interpreter,  🐛 bug    if using the ddp distributed backend  the program breaks if python refers to   or does not exist   to reproduce    steps to reproduce the behavior     make sure the python command does not link to    such as on ubuntu       run trainer  fit with distributed backed  ddp     additional context    the problem lies at       pytorch lightning pytorch lightning trainer distrib data parallel py               line          in                        command     python     command            the python command is hardcoded here  on many systems  python is a symlink to    or does not exist    ,fc61c200c085f78fa2af4850aa8dc8e832fb80d0,CHANGELOG.md
2476,Model and Input not on same GPU when training with native AMP and DP,  🐛 bug    training with distributed backend  dp  and precision   result in the error that some input output of the model is not on the same gpu   to reproduce    from pytorch lightning import trainer  seed everything  from pl examples models lightning template import lightningtemplatemodel  seed everything     def main          model   lightningtemplatemodel        model   lightningtemplatemodel         trainer   trainer           gpus             num nodes             distributed backend  dp            precision                     trainer fit     if   name         main          main       run the above example code will result in following error   traceback       file      py   line    in       main     file      py   line    in main      trainer fit     file   home ubuntu   envs trfm lib     site packages pytorch lightning trainer trainer py   line    in fit      self dp train     file   home ubuntu   envs trfm lib     site packages pytorch lightning trainer distrib parts py   line,031274c25dedc92e383d2715e283a55a2b102d29,pl_examples\README.md
